Sample_Code,Animal,Time,Sex,Diet,Volume_raw,Volume_Norm,Stiffness,PV_flow,HA_flow,Oxygenation,Bodyweight,Vol_to_bw,Norm_Vol_to_bw,PV_velocity,PV_diameter,Rel_Bw
BUS14_-24,BUS14,-24,Male,Carbohydrate,7675.313,1,1.966,0.6005371,,53.65769,336,22.84319345,1,99.447,0.992,1
BUS14_0.3,BUS14,0.3,Male,Carbohydrate,2030.597,0.26456211,1.902667,0.809289161,,51.79725,325,6.247990769,0.27351652,26.29066667,1.152,0.967261905
BUS14_10,BUS14,10,Male,Carbohydrate,3371.897,0.439317198,2.168,1.043571336,0.492270056,,341,9.888260997,0.432875597,31.25766667,1.546,1.014880952
BUS14_24,BUS14,24,Male,Carbohydrate,3672.641,0.478500486,2.143333,0.559011426,0.380216854,54.56406,336,10.93047917,0.478500486,36.08966667,1.099,1
BUS14_48,BUS14,48,Male,Carbohydrate,5494.318,0.715842859,2.230714,0.552788431,0.470459145,,337,16.30361424,0.713718696,34.20666667,1.373,1.00297619
BUS14_72,BUS14,72,Male,Carbohydrate,6037.978,0.786675149,1.978667,0.721358484,0.29735319,52.51906,339,17.81114454,0.779713422,45.41233333,1.427,1.008928571
BUS14_96,BUS14,96,Male,Carbohydrate,7002.002,0.91227576,2.064,0.712627182,0.398848236,,,#DIV/0!,#DIV/0!,74.31133333,1.194,
BUS15_-24,BUS15,-24,Male,Ethanol,8093.998,1,1.735333,0.708874924,0.438875161,54.8056,311,26.02571704,1,96.25133333,1.125,1
BUS15_0.3,BUS15,0.3,Male,Ethanol,2529.278,0.312488093,1.854667,1.209049522,0.615052589,51.01588,304,8.319993421,0.319683543,27.12933333,1.547,0.977491961
BUS15_10,BUS15,10,Male,Ethanol,3548.812,0.438449824,2.062667,2.177797993,,,298,11.9087651,0.45757683,58.97766667,1.668,0.958199357
BUS15_24,BUS15,24,Male,Ethanol,4302.12,0.531519776,1.952,0.95682136,0.809601567,55.27964,298,14.4366443,0.55470688,36.56566667,1.546,0.958199357
